CensusTract,State,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Citizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
29149480100,Missouri,Oregon,4006,1859,2147,0.4,93.9,0.2,0.4,0.0,0.0,3168,28148.0,3456.0,16676.0,2437.0,30.0,56.6,19.7,27.1,22.3,13.4,17.5,81.8,7.1,1.1,3.6,2.0,4.4,22.8,1438,72.0,16.6,11.4,0.0,8.3
29149480200,Missouri,Oregon,4622,2368,2254,2.4,94.5,0.3,1.6,0.3,0.0,3417,31776.0,4609.0,16782.0,1315.0,21.5,22.2,25.2,17.2,21.9,11.0,24.7,83.5,8.9,0.2,2.0,1.1,4.2,22.3,1839,74.4,13.4,11.7,0.5,4.8
29149480300,Missouri,Oregon,2351,1162,1189,1.4,95.4,0.0,2.2,0.0,0.0,1867,30343.0,3647.0,18306.0,2504.0,29.4,49.0,25.6,15.9,14.0,13.8,30.8,74.0,19.1,0.4,0.8,0.6,5.2,25.5,806,63.4,25.1,11.5,0.0,10.1
41001950100,Oregon,Baker,2915,1411,1504,5.9,91.3,0.5,1.6,0.1,0.2,2381,47025.0,4796.0,26533.0,3524.0,13.9,21.2,39.9,10.1,21.6,13.5,14.9,70.1,11.6,0.0,7.1,1.8,9.4,21.0,1220,65.3,24.1,10.2,0.3,5.7
41001950200,Oregon,Baker,3262,1622,1640,5.3,92.6,0.0,0.7,0.7,0.0,2427,43625.0,8402.0,27343.0,3574.0,12.9,26.3,41.4,12.7,14.6,19.4,11.8,68.7,12.1,0.0,8.6,4.8,5.8,11.3,1386,66.5,19.8,13.3,0.4,15.1
41001950300,Oregon,Baker,2496,1171,1325,1.2,93.1,0.0,2.3,1.2,0.7,1968,36442.0,9869.0,27161.0,5622.0,17.6,23.6,33.6,19.4,25.4,12.3,9.4,77.6,10.8,0.0,1.8,4.3,5.5,14.7,992,78.9,18.0,3.0,0.0,13.1
41001950400,Oregon,Baker,2807,1362,1445,0.0,95.9,0.0,0.0,1.0,0.5,2204,36052.0,6984.0,21716.0,3006.0,15.2,30.7,31.4,13.7,29.9,11.0,14.1,79.2,7.4,0.0,6.0,2.4,5.1,12.1,1074,69.6,21.1,8.7,0.7,9.3
41001950500,Oregon,Baker,2952,1734,1218,7.2,84.9,0.7,1.7,0.7,0.1,2381,40351.0,2861.0,19351.0,2745.0,16.8,25.3,31.7,18.9,24.2,10.5,14.8,73.8,14.6,0.0,4.4,3.1,4.2,16.4,1064,83.5,11.9,4.6,0.0,6.6
41001950600,Oregon,Baker,1620,863,757,0.9,94.8,0.3,0.6,0.2,0.0,1366,35259.0,4519.0,23838.0,3241.0,15.7,15.9,42.3,10.5,21.9,14.8,10.5,62.2,9.2,1.9,6.3,1.6,18.6,21.7,640,63.1,18.0,18.9,0.0,8.6
41003000100,Oregon,Benton,8034,4287,3747,13.9,79.9,0.1,0.0,4.8,0.0,5852,46152.0,5535.0,24779.0,2712.0,20.2,13.3,42.2,28.5,12.5,8.0,8.8,71.3,8.7,3.6,1.5,9.2,5.7,19.7,4685,69.5,24.0,6.5,0.0,6.9
